location_key,location_query,postal_code,latitude,longitude
ZEHNDER ROAD,ZEHNDER%20ROAD,117702,1.282192047,103.7865084
NEO PEE TECK LANE,NEO%20PEE%20TECK%20LANE,119053,1.292876054,103.7695185
TURQUOISE,TURQUOISE,98395,1.242440747,103.8367551
BUKIT TERESA ROAD,BUKIT%20TERESA%20ROAD,99758,1.27624326,103.8251562
ARTRA,ARTRA,158745,1.290030671,103.8171853
YONG SIAK STREET,YONG%20SIAK%20STREET,168652,1.282834476,103.830077
CITY GATE,CITY%20GATE,199597,1.302347543,103.86226
FABER HILLS,FABER%20HILLS,129280,1.319756573,103.7571542
THE COAST AT SENTOSA COVE,THE%20COAST%20AT%20SENTOSA%20COVE,98450,1.245288947,103.8435457
THE FOLIAGE,THE%20FOLIAGE,118709,1.291020313,103.7740571
MARINA BAY SUITES,MARINA%20BAY%20SUITES,18965,1.28034498,103.8521433
SPOTTISWOODE SUITES,SPOTTISWOODE%20SUITES,88661,1.276035116,103.837502
SENTOSA COVE,SENTOSA%20COVE,98537,1.246940686,103.8399861
HARBOURLIGHTS,HARBOURLIGHTS,98865,1.266560106,103.8228925
V ON SHENTON,V%20ON%20SHENTON,68814,1.277083407,103.8491813
SPRINGWOOD,SPRINGWOOD,117992,1.280630734,103.7917581
CLAVON,CLAVON,129964,1.308512377,103.767086
BURLINGTON SQUARE,BURLINGTON%20SQUARE,189649,1.30222952,103.8525381
MOUNT FABER LODGE,MOUNT%20FABER%20LODGE,99200,1.26890032,103.8246355
CHWEE CHIAN VIEW,CHWEE%20CHIAN%20VIEW,119709,1.28031656,103.7877918
ONE SHENTON,ONE%20SHENTON,68803,1.279294914,103.8505526
THE VISION,THE%20VISION,128051,1.298564707,103.7650445
FABER GREEN,FABER%20GREEN,91003,1.279010586,103.8175631
MIDTOWN BAY,MIDTOWN%20BAY,189770,1.296356664,103.8573688
HERITAGE VIEW,HERITAGE%20VIEW,138680,1.304416722,103.7842786
COVE DRIVE,COVE%20DRIVE,98053,1.243209324,103.8378255
CARABELLE,CARABELLE,127023,1.317499301,103.756437
THE PEARL @ MOUNT FABER,THE%20PEARL%20%40%20MOUNT%20FABER,99209,1.270368054,103.8247119
BUONA VISTA GARDENS,BUONA%20VISTA%20GARDENS,117688,1.283302915,103.7863883
OCEAN 8,OCEAN%208,98512,1.252485841,103.8458845
FRAGRANCE COURT,FRAGRANCE%20COURT,117752,1.277285588,103.7931222
LIIV RESIDENCES,LIIV%20RESIDENCES,117368,1.288513699,103.7766264
THE CREST,THE%20CREST,159024,1.292899047,103.8195665
SUNSHINE PLAZA,SUNSHINE%20PLAZA,189652,1.300369965,103.8510688
FLYNN PARK,FLYNN%20PARK,117757,1.278915042,103.7927439
FABER GROVE,FABER%20GROVE,129225,1.322667149,103.7560805
WEST COAST VIEW,WEST%20COAST%20VIEW,127180,1.294948173,103.7665829
