location_query,year,no_of_bedroom,tenure_type,remaining_tenure,property_type,avg_transaction_price,avg_price_per_sqm,number_of_transaction
ZEHNDER ROAD,2020,5 or more,Freehold,0,Landed,5500000,10490,1
ZEHNDER ROAD,2018,5 or more,Freehold,0,Landed,4875000,15681,2
NEO PEE TECK LANE,2020,5 or more,Freehold,0,Landed,2630000,16510,1
TURQUOISE,2016,5 or more,99,85,Condo,3750000,15550,2
TURQUOISE,2020,5 or more,99,85,Condo,3126667,15290,3
TURQUOISE,2018,5 or more,99,85,Condo,3654000,15327,5
TURQUOISE,2019,5 or more,99,85,Condo,3450000,15265,1
TURQUOISE,2017,5 or more,99,85,Condo,3375000,15884,2
BUKIT TERESA ROAD,2017,5 or more,Freehold,0,Landed,2838000,15917,2
BUKIT TERESA ROAD,2018,5 or more,Freehold,0,Landed,8500000,19067,4
ARTRA,2018,4,99,94,Condo,2031118,18327,44
ARTRA,2018,5 or more,99,94,Condo,2447695,17924,21
ARTRA,2018,3,99,94,Condo,1708492,21003,59
ARTRA,2019,3,99,94,Condo,1833596,22206,26
ARTRA,2019,4,99,94,Condo,2217556,20141,18
ARTRA,2019,5 or more,99,94,Condo,3189989,18932,9
ARTRA,2020,3,99,94,Condo,1894534,22145,29
ARTRA,2020,4,99,94,Condo,2162520,20793,5
ARTRA,2020,5 or more,99,94,Condo,3960500,19333,3
ARTRA,2017,3,99,94,Condo,1465408,18184,155
ARTRA,2017,4,99,94,Condo,1923920,17200,29
ARTRA,2017,5 or more,99,94,Condo,2245999,17145,6
ARTRA,2021,3,99,94,Condo,1450000,19863,1
YONG SIAK STREET,2018,4,9999,9941,Condo,1830000,17429,1
YONG SIAK STREET,2020,3,Freehold,0,Condo,1500000,16129,1
CITY GATE,2020,3,99,92,Condo,1676250,20850,2
CITY GATE,2020,2,99,92,Condo,1275000,20082,2
CITY GATE,2021,1,99,92,Condo,870000,20714,1
CITY GATE,2021,2,99,92,Condo,1408000,22349,1
CITY GATE,2016,5 or more,99,92,Condo,2600720,17874,2
CITY GATE,2016,4,99,92,Condo,2114000,18461,2
CITY GATE,2016,3,99,92,Condo,1478000,19707,2
CITY GATE,2019,3,99,92,Condo,1740000,20546,3
CITY GATE,2019,2,99,92,Condo,1447000,22337,4
CITY GATE,2019,1,99,92,Condo,935000,22262,1
FABER HILLS,2020,5 or more,Freehold,0,Landed,3715000,14714,3
FABER HILLS,2021,5 or more,Freehold,0,Landed,4889667,14212,3
FABER HILLS,2016,5 or more,Freehold,0,Landed,3090000,15575,1
