quarter,type,district,district_display,project,flat_type,median_rent
2018Q3,Condo,15,"Katong, Joo Chiat, Amber Road",ELLIOT AT THE EAST COAST,-,2.5
2020Q1,Condo,15,"Katong, Joo Chiat, Amber Road",ELLIOT AT THE EAST COAST,-,2.73
2019Q2,Condo,15,"Katong, Joo Chiat, Amber Road",ELLIOT AT THE EAST COAST,-,2.56
2018Q3,Condo,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",MERAWOODS,-,2.01
2020Q3,Condo,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",MERAWOODS,-,1.93
2019Q1,Condo,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",MERAWOODS,-,1.93
2019Q3,Condo,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",MERAWOODS,-,1.93
2020Q1,Condo,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",MERAWOODS,-,1.91
2019Q2,Condo,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",MERAWOODS,-,2
2019Q4,Condo,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",MERAWOODS,-,1.95
2018Q4,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.14
2018Q1,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.05
2018Q3,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.1
2018Q2,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,2.97
2019Q4,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.39
2020Q2,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.14
2019Q1,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.69
2020Q3,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.23
2019Q3,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.57
2020Q1,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.08
2019Q2,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.24
2020Q4,Condo,20,"Bishan, Ang Mo Kio",THE PANORAMA,-,3.29
2020Q4,Condo,3,"Queenstown, Tiong Bahru",ARTRA,-,4.71
2020Q3,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,3.89
2018Q3,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.93
2018Q1,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.77
2019Q1,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.6
2018Q2,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,5.08
2018Q4,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.93
2019Q3,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.62
2020Q1,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.06
2019Q2,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.73
2019Q4,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.06
2020Q2,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,4.18
2020Q4,Condo,9,"Orchard, Cairnhill, River Valley",8 @ MOUNT SOPHIA,-,3.88
2018Q1,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,1.94
2018Q3,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,1.98
2018Q2,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,1.92
2018Q4,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,1.93
2019Q1,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,2.01
2019Q3,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,1.96
2020Q1,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,1.84
2019Q2,Condo,17,"Loyang, Changi",DAHLIA PARK CONDOMINIUM,-,1.99
