quarter,type,district,district_display,project,flat_type,median_rent
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,1-RM,0
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,2-RM,0
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,3-RM,1700
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,4-RM,2100
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,5-RM,2300
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,EXEC,0
2018Q1,HDB,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",HDB,1-RM,0
2018Q1,HDB,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",HDB,2-RM,0
2018Q1,HDB,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",HDB,3-RM,1700
2018Q1,HDB,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",HDB,4-RM,2050
2018Q1,HDB,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",HDB,5-RM,2300
2018Q1,HDB,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",HDB,EXEC,2400
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,1-RM,0
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,2-RM,0
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,3-RM,1800
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,4-RM,2250
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,5-RM,2500
2018Q1,HDB,20,"Bishan, Ang Mo Kio",HDB,EXEC,0
2018Q1,HDB,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,1-RM,0
2018Q1,HDB,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,2-RM,0
2018Q1,HDB,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,3-RM,1600
2018Q1,HDB,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,4-RM,1900
2018Q1,HDB,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,5-RM,2100
2018Q1,HDB,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",HDB,EXEC,2200
